REGIONAL,CELL,TILE,EXPECTED-RSRP,Dmin1-RSRP,Dmin2-RSRP
3,135132-12,qquhcxz,-94.71803961859789,-105.345459,UNDEFINED
3,135132-12,qquhcz3,-103.0000396728528,-107.000000,UNDEFINED
3,135132-12,qquhcz4,-101.878040313725,-106.250000,UNDEFINED
3,135132-12,qquhcz5,-103.56470743815169,UNDEFINED,UNDEFINED
3,135132-12,qquhcz6,-102.08803643120656,UNDEFINED,UNDEFINED
3,135132-12,qquhcz9,-101.24636840820315,-108.833328,UNDEFINED
3,135132-12,qquhczb,-101.04470486111124,-105.666664,UNDEFINED
3,135132-12,qquhczc,-93.09053802490236,-108.833336,UNDEFINED
3,135132-12,qquhczd,-98.71581353081568,-109.000000,UNDEFINED
3,135132-12,qquhcze,-100.47470770941943,-110.000000,UNDEFINED
3,135132-12,qquhczf,-96.89928817749038,-109.000000,UNDEFINED
3,135132-12,qquhczg,-99.15248107910166,-107.833336,UNDEFINED
3,135132-12,qquhczm,-104.7180366516125,UNDEFINED,UNDEFINED
3,135132-12,qquhczu,-104.83581882053066,UNDEFINED,UNDEFINED
3,135132-12,qquhczw,-104.38303883870331,UNDEFINED,UNDEFINED
3,135132-12,qquj0vp,-104.94804382324,UNDEFINED,UNDEFINED
3,135132-12,qquj11t,-100.87803649902,UNDEFINED,UNDEFINED
3,135132-12,qquj11w,-100.57803344727,-114.000000,UNDEFINED
3,135132-12,qquj127,-92.338043212891,-105.729164,UNDEFINED
3,135132-12,qquj12d,-94.3480377197265,-107.345238,UNDEFINED
3,135132-12,qquj12e,-94.77178955078124,-105.498871,UNDEFINED
3,135132-12,qquj12f,-94.85803985595716,-108.809532,UNDEFINED
3,135132-12,qquj12g,-95.87531211159435,-107.000000,UNDEFINED
3,135132-12,qquj12k,-97.8608965192536,-105.094803,UNDEFINED
3,135132-12,qquj12s,-95.35518101283414,-106.508217,UNDEFINED
3,135132-12,qquj12t,-91.93303680419912,-105.690674,UNDEFINED
3,135132-12,qquj12u,-93.134702046712,-106.508080,UNDEFINED
3,135132-12,qquj12v,-96.55804007393886,-106.787041,UNDEFINED
3,135132-12,qquj12y,-88.58553886413613,-105.133713,UNDEFINED
3,135132-12,qquj132,-96.988037109375,UNDEFINED,UNDEFINED
3,135132-12,qquj133,-99.38303375244077,-112.250000,UNDEFINED
3,135132-12,qquj134,-94.26303672790525,-112.000000,UNDEFINED
3,135132-12,qquj135,-93.78428649902352,-107.933327,UNDEFINED
3,135132-12,qquj136,-95.32804107666,-110.500000,UNDEFINED
3,135132-12,qquj137,-94.34581332736543,-109.500000,UNDEFINED
3,135132-12,qquj13d,-95.65248107910166,-112.500000,UNDEFINED
3,135132-12,qquj13e,-94.65553665161136,-111.516663,UNDEFINED
3,135132-12,qquj13f,-97.10928726196262,-112.000000,UNDEFINED
3,135132-12,qquj13g,-98.4605407714855,-112.000000,UNDEFINED
3,135132-12,qquj13h,-95.54692755805112,-108.541664,UNDEFINED
3,135132-12,qquj13j,-99.77026028103424,-107.000000,UNDEFINED
3,135132-12,qquj13k,-95.68894542347265,-109.906250,UNDEFINED
3,135132-12,qquj13m,-92.530263264974,-111.000000,UNDEFINED
3,135132-12,qquj13n,-92.90692647298278,-107.251633,UNDEFINED
3,135132-12,qquj13q,-89.91692776150165,-106.619057,UNDEFINED
3,135132-12,qquj13r,-87.27581956651478,-107.375000,UNDEFINED
3,135132-12,qquj13s,-94.9402584499781,-116.000000,UNDEFINED
3,135132-12,qquj13t,-91.124704996745,-110.000000,UNDEFINED
3,135132-12,qquj13u,-101.79248046875134,-111.000000,UNDEFINED
3,135132-12,qquj13v,-101.1390365600579,-111.500000,UNDEFINED
3,135132-12,qquj13w,-90.36553955078062,-108.260414,UNDEFINED
3,135132-12,qquj13x,-90.3380381266281,-111.500000,UNDEFINED
3,135132-12,qquj13y,-91.47692532009556,-113.000000,UNDEFINED
3,135132-12,qquj13z,-90.4780409071181,-107.833336,UNDEFINED
3,135132-12,qquj146,-103.25804138184,UNDEFINED,UNDEFINED
3,135132-12,qquj14g,-103.31303405762,UNDEFINED,UNDEFINED
3,135132-12,qquj14m,-100.648040771485,-122.000000,UNDEFINED
3,135132-12,qquj14n,-101.09304046631,UNDEFINED,UNDEFINED
3,135132-12,qquj14t,-102.32303619385,UNDEFINED,UNDEFINED
3,135132-12,qquj14u,-101.098037719725,-118.000000,UNDEFINED
3,135132-12,qquj14v,-102.74136861165334,UNDEFINED,UNDEFINED
3,135132-12,qquj15h,-101.00804138184,UNDEFINED,UNDEFINED
3,135132-12,qquj15k,-101.04803466797,UNDEFINED,UNDEFINED
3,135132-12,qquj15m,-100.64804077148,UNDEFINED,UNDEFINED
3,135132-12,qquj15n,-101.21803283691,UNDEFINED,UNDEFINED
3,135132-12,qquj15q,-101.12803649902,UNDEFINED,UNDEFINED
3,135132-12,qquj15r,-99.508041381836,UNDEFINED,UNDEFINED
3,135132-12,qquj164,-99.04053878784238,UNDEFINED,UNDEFINED
3,135132-12,qquj165,-98.852481418185,UNDEFINED,UNDEFINED
3,135132-12,qquj166,-102.36136881510464,UNDEFINED,UNDEFINED
3,135132-12,qquj167,-97.3580379486085,UNDEFINED,UNDEFINED
3,135132-12,qquj16e,-96.411371866862,UNDEFINED,UNDEFINED
3,135132-12,qquj16f,-97.488037109375,UNDEFINED,UNDEFINED
3,135132-12,qquj16g,-96.38803609212266,UNDEFINED,UNDEFINED
3,135132-12,qquj16h,-97.20025804307733,-112.000000,UNDEFINED
3,135132-12,qquj16j,-94.70553970336888,-111.666664,UNDEFINED
3,135132-12,qquj16k,-102.85803731282432,-113.500000,UNDEFINED
3,135132-12,qquj16m,-94.09946986607144,UNDEFINED,UNDEFINED
3,135132-12,qquj16n,-92.97428512573238,UNDEFINED,UNDEFINED
3,135132-12,qquj16p,-91.41915045844188,UNDEFINED,UNDEFINED
3,135132-12,qquj16q,-91.7305386861165,-113.000000,UNDEFINED
3,135132-12,qquj16r,-93.225816514757,-112.500000,UNDEFINED
3,135132-12,qquj16s,-102.78803507486934,-114.500000,UNDEFINED
3,135132-12,qquj16t,-94.99089704241086,-111.333336,UNDEFINED
3,135132-12,qquj16u,-95.958038330078,-115.000000,UNDEFINED
3,135132-12,qquj16v,-94.52678680419912,UNDEFINED,UNDEFINED
3,135132-12,qquj16w,-99.23637135823468,-114.000000,UNDEFINED
3,135132-12,qquj16x,-90.24946812221,-113.000000,UNDEFINED
3,135132-12,qquj16z,-102.0420379638656,UNDEFINED,UNDEFINED
3,135132-12,qquj174,-98.548034667969,UNDEFINED,UNDEFINED
3,135132-12,qquj175,-96.138031005859,UNDEFINED,UNDEFINED
3,135132-12,qquj177,-97.0280380249025,-123.500000,UNDEFINED
3,135132-12,qquj179,-98.493034362793,-118.000000,UNDEFINED
3,135132-12,qquj17b,-99.16470336914068,UNDEFINED,UNDEFINED
3,135132-12,qquj17d,-97.348037719727,UNDEFINED,UNDEFINED
3,135132-12,qquj17e,-97.191375732422,UNDEFINED,UNDEFINED
3,135132-12,qquj17h,-99.998035430907,UNDEFINED,UNDEFINED
3,135132-12,qquj17j,-95.15803527832053,UNDEFINED,UNDEFINED
3,135132-12,qquj17k,-95.478042602539,UNDEFINED,UNDEFINED
3,135132-12,qquj17m,-94.578033447266,UNDEFINED,UNDEFINED
3,135132-12,qquj17n,-94.74471028645831,UNDEFINED,UNDEFINED
3,135132-12,qquj17p,-99.46946716308528,UNDEFINED,UNDEFINED
3,135132-12,qquj17q,-94.038040161133,-114.599998,UNDEFINED
3,135132-12,qquj17r,-95.49928665161124,UNDEFINED,UNDEFINED
3,135132-12,qquj17s,-95.8780364990235,UNDEFINED,UNDEFINED
3,135132-12,qquj17u,-96.688034057617,UNDEFINED,UNDEFINED
3,135132-12,qquj17w,-102.8280395507832,UNDEFINED,UNDEFINED
3,135132-12,qquj17x,-95.13232421875,-117.000000,UNDEFINED
3,135132-12,qquj17y,-97.9180374145505,UNDEFINED,UNDEFINED
3,135132-12,qquj17z,-97.58803939819376,UNDEFINED,UNDEFINED
3,135132-12,qquj18g,-84.09026251898867,-107.361115,UNDEFINED
3,135132-12,qquj18n,-102.21803792317624,-105.052505,UNDEFINED
3,135132-12,qquj18p,-89.07359483506933,-105.837662,UNDEFINED
3,135132-12,qquj18q,-93.76089913504458,-107.940483,UNDEFINED
3,135132-12,qquj18r,-103.665534973143,-106.822914,UNDEFINED
3,135132-12,qquj18t,-83.61581590440534,-107.375000,UNDEFINED
3,135132-12,qquj18u,-84.81248474121122,-106.500000,UNDEFINED
3,135132-12,qquj18v,-84.28692457411022,-107.527771,UNDEFINED
3,135132-12,qquj18x,-88.87692769368466,-106.054169,UNDEFINED
3,135132-12,qquj18y,-90.229148017036,-107.721939,UNDEFINED
3,135132-12,qquj18z,-88.9313727484809,-111.000000,UNDEFINED
3,135132-12,qquj190,-89.34054183959925,-106.995239,UNDEFINED
3,135132-12,qquj191,-98.793594360351,-105.527779,UNDEFINED
3,135132-12,qquj192,-88.35026041666679,-105.483582,UNDEFINED
3,135132-12,qquj193,-92.10678672790512,-107.060715,UNDEFINED
3,135132-12,qquj194,-84.32581583658867,-105.242828,UNDEFINED
3,135132-12,qquj195,-86.15914916992189,-107.912498,UNDEFINED
3,135132-12,qquj196,-85.82137383355045,-105.279167,UNDEFINED
3,135132-12,qquj197,-89.04248216417078,-108.333336,UNDEFINED
3,135132-12,qquj198,-90.37946864536843,-108.500000,UNDEFINED
3,135132-12,qquj199,-90.90137227376324,-108.500000,UNDEFINED
3,135132-12,qquj19b,-91.95915052625878,-106.666672,UNDEFINED
3,135132-12,qquj19c,-94.43303871154724,-109.750000,UNDEFINED
3,135132-12,qquj19d,-87.66581556532134,-106.516663,UNDEFINED
3,135132-12,qquj19e,-88.70803833007811,-107.500000,UNDEFINED
3,135132-12,qquj19f,-90.8647037082249,-109.125000,UNDEFINED
3,135132-12,qquj19g,-88.80470445421011,-109.000000,UNDEFINED
3,135132-12,qquj19h,-85.4535929361979,-109.000000,UNDEFINED
3,135132-12,qquj19j,-86.74581570095489,-111.000000,UNDEFINED
3,135132-12,qquj19k,-87.01914978027355,-107.000000,UNDEFINED
3,135132-12,qquj19m,-88.48470560709644,-112.000000,UNDEFINED
3,135132-12,qquj19n,-88.71359761555989,UNDEFINED,UNDEFINED
3,135132-12,qquj19p,-89.619150797526,-107.000000,UNDEFINED
3,135132-12,qquj19q,-89.15137227376312,UNDEFINED,UNDEFINED
3,135132-12,qquj19r,-89.762479994032,-109.000000,UNDEFINED
3,135132-12,qquj19s,-88.50692579481333,-108.000000,UNDEFINED
3,135132-12,qquj19t,-89.04359436035178,-108.000000,UNDEFINED
3,135132-12,qquj19u,-89.01137457953567,UNDEFINED,UNDEFINED
3,135132-12,qquj19v,-91.0302598741318,-114.000000,UNDEFINED
3,135132-12,qquj19w,-90.92359415690144,UNDEFINED,UNDEFINED
3,135132-12,qquj19x,-93.30470614963076,UNDEFINED,UNDEFINED
3,135132-12,qquj19y,-95.90554046630812,-113.333336,UNDEFINED
3,135132-12,qquj19z,-97.23053741455,UNDEFINED,UNDEFINED
3,135132-12,qquj1b0,-92.98804050021732,-107.000000,UNDEFINED
3,135132-12,qquj1b1,-94.11692810058578,-107.222221,UNDEFINED
3,135132-12,qquj1b2,-90.01026068793401,-107.666664,UNDEFINED
3,135132-12,qquj1b3,-91.78248257107212,-109.000000,UNDEFINED
3,135132-12,qquj1b4,-95.19470384385856,-110.500000,UNDEFINED
3,135132-12,qquj1b5,-97.56054115295412,UNDEFINED,UNDEFINED
3,135132-12,qquj1b6,-94.04803848266612,-109.831749,UNDEFINED
3,135132-12,qquj1b7,-97.26136779785168,-111.833336,UNDEFINED
3,135132-12,qquj1b8,-89.62026129828556,-110.500000,UNDEFINED
3,135132-12,qquj1b9,-92.05803489685064,-109.666664,UNDEFINED
3,135132-12,qquj1bb,-91.57026163737044,-109.500000,UNDEFINED
3,135132-12,qquj1bc,-98.52946472167912,-109.000000,UNDEFINED
3,135132-12,qquj1bd,-100.5023236955914,UNDEFINED,UNDEFINED
3,135132-12,qquj1be,-95.304037475586,-114.000000,UNDEFINED
3,135132-12,qquj1bf,-99.9680389404288,-112.500000,UNDEFINED
3,135132-12,qquj1bg,-102.98470560709768,UNDEFINED,UNDEFINED
3,135132-12,qquj1bh,-100.18178939819262,-113.000000,UNDEFINED
3,135132-12,qquj1bj,-103.868034362795,UNDEFINED,UNDEFINED
3,135132-12,qquj1bm,-103.38661193847643,UNDEFINED,UNDEFINED
3,135132-12,qquj1bp,-104.54554112752334,UNDEFINED,UNDEFINED
3,135132-12,qquj1bq,-102.04803848266624,UNDEFINED,UNDEFINED
3,135132-12,qquj1br,-104.43053690592416,UNDEFINED,UNDEFINED
3,135132-12,qquj1bt,-102.2792892456065,UNDEFINED,UNDEFINED
3,135132-12,qquj1bu,-103.6758151584208,UNDEFINED,UNDEFINED
3,135132-12,qquj1bv,-98.89470587836432,UNDEFINED,UNDEFINED
3,135132-12,qquj1bw,-102.13914828830222,UNDEFINED,UNDEFINED
3,135132-12,qquj1bx,-102.08915032280778,UNDEFINED,UNDEFINED
3,135132-12,qquj1by,-100.66581895616356,UNDEFINED,UNDEFINED
3,135132-12,qquj1bz,-102.52803887261332,UNDEFINED,UNDEFINED
3,135132-12,qquj1c0,-94.71470642089768,UNDEFINED,UNDEFINED
3,135132-12,qquj1c1,-95.61915079752688,-110.500000,UNDEFINED
3,135132-12,qquj1c3,-101.0680358886724,UNDEFINED,UNDEFINED
3,135132-12,qquj1c4,-100.08026123046822,-112.666664,UNDEFINED
3,135132-12,qquj1c5,-103.41914706760032,UNDEFINED,UNDEFINED
3,135132-12,qquj1c6,-99.69679069519074,UNDEFINED,UNDEFINED
3,135132-12,qquj1c8,-97.80375235421344,UNDEFINED,UNDEFINED
3,135132-12,qquj1c9,-94.23179054260288,-110.000000,UNDEFINED
3,135132-12,qquj1cb,-95.90470716688334,UNDEFINED,UNDEFINED
3,135132-12,qquj1cc,-95.8910369873051,UNDEFINED,UNDEFINED
3,135132-12,qquj1cd,-93.33137342664934,UNDEFINED,UNDEFINED
3,135132-12,qquj1cf,-94.221675526012,UNDEFINED,UNDEFINED
3,135132-12,qquj1cg,-100.27470397949068,-118.000000,UNDEFINED
3,135132-12,qquj1cj,-100.413035074869,-116.000000,UNDEFINED
3,135132-12,qquj1ck,-103.05928802490362,UNDEFINED,UNDEFINED
3,135132-12,qquj1cm,-96.93440246582036,-116.000000,UNDEFINED
3,135132-12,qquj1cn,-99.074703640408,UNDEFINED,UNDEFINED
3,135132-12,qquj1cp,-100.73894847523128,UNDEFINED,UNDEFINED
3,135132-12,qquj1cq,-97.5063718159995,UNDEFINED,UNDEFINED
3,135132-12,qquj1cr,-98.8360382080082,UNDEFINED,UNDEFINED
3,135132-12,qquj1ct,-96.7160369873046,UNDEFINED,UNDEFINED
