REGIONAL,CELL,IRIIS-GRIDS,IRIIS-EXPECTED-GOOD-GRIDS,Dmin1-GRIDS,Dmin1-GOOD-GRIDS,Dmin1-ACTUAL-GOOD-GRIDS,Dmin1-RATIO,Dmin1-STATUS,Dmin2-GRIDS,Dmin2-GOOD-GRIDS,Dmin2-ACTUAL-GOOD-GRIDS,Dmin2-RATIO,Dmin2-STATUS,FINAL-RATIO,FINAL-STATUS
3,131091-13,0,0,114,32,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131091-23,0,0,240,17,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131091-33,0,0,59,24,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131171-13,0,0,45,22,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131171-23,0,0,37,19,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131171-33,0,0,52,32,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131373-103,0,0,18,17,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131373-13,0,0,7,5,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131373-23,0,0,14,11,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131373-33,0,0,7,7,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131373-63,0,0,11,9,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131373-73,0,0,15,11,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131373-83,0,0,21,13,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131373-93,0,0,23,23,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131506-13,0,0,139,49,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131506-23,0,0,90,42,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131506-33,0,0,157,35,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
3,131537-12,0,0,301,47,0,-1,UNDEFINED,0,0,0,-1,UNDEFINED,-1,UNDEFINED
