REGIONAL,CELLS
3,131091-13
3,131091-23
3,131091-33
3,131171-13
3,131171-23
3,131171-33
3,131373-103
3,131373-13
3,131373-23
3,131373-33
3,131373-63
3,131373-73
3,131373-83
3,131373-93
3,131506-13
3,131506-23
3,131506-33
3,131537-12
3,131537-22
3,131537-32
3,131557-43
3,131557-53
3,131591-11
3,131591-21
3,131591-31
3,131591-41
3,131627-11
3,131627-21
3,131627-31
3,131721-13
3,131721-23
3,131721-33
3,131834-13
3,131834-23
3,131834-33
3,131935-13
3,131935-23
3,131935-33
3,131943-13
3,131943-23
3,131943-33
3,131970-13
3,131970-23
3,131970-33
3,132018-43
3,132032-13
3,132032-23
3,132054-13
3,132054-23
3,132054-33
3,132057-13
3,132057-23
3,132057-33
3,132080-13
3,132096-13
3,132096-23
3,132147-13
3,132147-23
3,132147-33
3,132515-13
3,132515-23
3,132515-33
3,132561-13
3,132561-23
3,132561-33
3,132568-13
3,132568-23
3,132568-33
3,132579-13
3,132579-23
3,132579-33
3,132579-43
3,132579-53
3,132579-63
3,132585-13
3,132585-23
3,132597-33
3,132597-43
3,132597-53
3,132607-11
3,132607-21
3,132607-31
3,132607-41
3,132649-33
3,132649-43
3,132649-53
3,132668-13
3,132668-23
3,132668-33
3,132693-33
3,132809-11
3,132809-21
3,133099-13
3,133099-23
3,133099-33
3,133146-12
3,133146-22
3,133146-32
3,133146-42
3,133146-52
3,133166-13
3,133166-23
3,133166-33
3,133213-13
3,133213-23
3,133269-13
3,133269-23
3,133269-33
3,133307-11
3,133307-21
3,133307-31
3,133324-13
3,133324-23
3,133324-33
3,133538-13
3,133538-23
3,133538-33
3,133641-11
3,133641-21
3,133641-31
3,133736-13
3,133736-23
3,133745-13
3,133745-23
3,133745-33
3,133847-13
3,133847-23
3,133848-13
3,133848-23
3,133870-13
3,133870-23
3,133870-33
3,133878-11
3,133921-13
3,133921-23
3,133921-33
3,133997-31
3,133997-41
3,134008-13
3,134008-23
3,134008-33
3,134062-13
3,134062-23
3,134062-33
3,134229-11
3,134229-21
3,134229-31
3,134301-13
3,134301-23
3,134301-33
3,134327-13
3,134327-23
3,134327-33
3,134374-13
3,134374-23
3,134374-33
3,134524-13
3,134524-23
3,134524-33
3,134641-13
3,134641-23
3,134641-33
3,134669-12
3,134669-22
3,134669-32
3,134700-13
3,134700-23
3,134700-33
3,134840-13
3,134840-23
3,134840-33
3,134918-13
3,134918-23
3,135119-13
3,135119-23
3,135119-33
3,135134-13
3,135134-23
3,135134-33
3,135263-12
3,135263-22
3,135263-32
3,135293-23
3,135293-33
3,135300-11
3,135300-21
3,135300-31
3,135300-41
3,135300-51
3,135360-11
3,135360-21
3,135360-31
3,135538-13
3,135538-23
3,135538-33
3,135552-13
3,135552-23
3,135552-33
3,135646-12
3,135646-14
3,135646-22
3,135646-24
3,135646-32
3,135646-34
3,135675-22
3,135675-32
3,135675-42
3,135675-43
3,135694-15
3,135694-45
3,135723-13
3,135723-23
3,135723-33
3,135862-13
3,135862-23
3,135862-33
3,135879-13
3,135879-23
3,135879-33
3,135951-13
3,135951-23
3,135951-33
3,135966-34
3,136001-13
3,136001-23
3,136001-33
3,136802-13
3,136802-23
3,136802-33
3,136803-13
3,136803-23
3,136803-33
3,136807-13
3,136807-23
3,136807-33
3,136808-13
3,136808-23
3,136808-33
3,137724-13
3,137724-23
3,137724-33
3,140027-13
3,140027-23
3,140027-33
3,142003-13
3,142003-23
3,142003-33
3,143157-13
3,143157-23
3,143157-33
3,143488-13
3,143488-23
3,143488-33
3,143599-13
3,143599-23
3,143599-33
3,144379-13
3,144379-23
3,144379-33
3,146099-13
3,146099-23
3,146099-33
3,146716-13
3,146716-23
3,146716-33
3,146842-13
3,146842-23
3,146842-33
3,147665-13
3,147665-23
3,147665-33
3,148001-11
3,148001-13
3,148001-21
3,148001-23
3,148001-31
3,148001-33
3,148016-13
3,148016-23
3,148016-33
3,148784-13
3,148784-23
3,148784-33
3,432214-13
3,432214-23
3,432214-33
3,432377-13
3,432377-23
3,432377-33
3,432399-53
3,432399-63
3,432399-73
3,432481-13
3,432481-23
3,432481-33
3,432581-13
3,432581-23
3,432581-33
3,432668-13
3,432668-23
3,432668-33
3,432668-43
3,432687-13
3,432687-23
3,432687-33
3,432946-13
3,432946-23
3,432946-33
3,432972-13
3,432972-23
3,432972-33
3,432972-43
3,472027-14
3,472027-24
3,472027-34
3,472146-13
3,472146-23
3,472200-61
3,472200-71
3,472200-81
3,472208-13
3,472208-23
3,472208-33
3,472343-13
3,472343-23
3,472343-33
3,472510-13
3,472510-23
3,472510-33
3,472531-11
3,472531-21
3,472531-31
3,475857-13
3,475857-23
3,475857-33
3,502111-11
3,502111-21
3,502111-31
3,5132515-14
3,5432377-24
3,621023-13
3,621023-23
3,621023-33
3,621128-11
3,621128-21
3,621128-31
3,621128-41
3,621204-33
3,621204-43
3,621204-53
3,621270-13
3,621270-23
3,621270-33
3,621284-13
3,621284-23
3,621284-33
3,621289-13
3,621289-23
3,621289-33
3,621313-12
3,621313-22
3,621313-32
3,621446-11
3,621446-21
3,621446-31
3,622020-13
3,622020-23
3,622020-33
3,622048-13
3,622048-23
3,622048-33
3,622082-13
3,622082-23
3,622082-33
3,622094-23
3,622200-13
3,622200-23
3,622200-33
3,622226-11
3,622226-21
3,622226-31
3,622282-11
3,622282-21
3,622282-31
3,623020-13
3,623020-23
3,623212-13
3,623212-23
3,623212-33
3,623285-13
3,623285-23
3,623285-33
3,623384-13
3,623384-23
3,623384-33
3,623386-63
3,623389-13
3,623389-23
3,623389-33
3,623389-43
3,623552-13
3,623552-23
3,623552-33
3,623553-13
3,623553-23
3,623553-33
3,623585-43
3,623585-53
3,623591-11
3,623591-21
3,623591-31
3,629048-11
3,629048-21
3,629048-31
4,149021-13
4,149021-23
4,149021-33
4,149058-25
4,149058-35
4,149058-55
4,149058-65
4,149093-13
4,149093-23
4,149093-33
4,149096-13
4,149096-23
4,149096-33
4,149098-13
4,149098-23
4,149098-33
4,149099-13
4,149099-23
4,149099-33
4,149103-13
4,149103-23
4,149103-33
4,149104-13
4,149104-23
4,149104-33
4,149107-13
4,149107-23
4,149107-33
4,149109-13
4,149109-23
4,149109-33
4,149110-12
4,149110-22
4,149110-32
4,149111-13
4,149111-23
4,149111-33
4,149115-13
4,149115-23
4,149115-33
4,149116-13
4,149116-23
4,149116-33
4,149117-13
4,149117-23
4,149117-33
4,149120-13
4,149120-23
4,149120-33
4,149126-13
4,149126-23
4,149126-33
4,149134-13
4,149134-23
4,149134-33
4,149136-13
4,149136-23
4,149136-33
4,149138-13
4,149138-23
4,149138-33
4,149148-13
4,149148-23
4,149148-33
