REGIONAL,CELLS,Dmin1-STATUS,Dmin2-STATUS,FINAL-STATUS
3,131091-13,UNDEFINED,UNDEFINED,UNDEFINED
3,131091-23,PASS,UNDEFINED,PASS
3,131091-33,PASS,UNDEFINED,PASS
3,131171-13,UNDEFINED,UNDEFINED,UNDEFINED
3,131171-23,PASS,UNDEFINED,PASS
3,131171-33,PASS,UNDEFINED,PASS
12,131185-13,UNDEFINED,UNDEFINED,UNDEFINED
12,131185-23,PASS,UNDEFINED,PASS
12,131185-33,PASS,UNDEFINED,PASS
3,131373-103,UNDEFINED,UNDEFINED,UNDEFINED
3,131373-13,UNDEFINED,UNDEFINED,UNDEFINED
3,131373-23,UNDEFINED,UNDEFINED,UNDEFINED
3,131373-33,UNDEFINED,UNDEFINED,UNDEFINED
3,131373-63,UNDEFINED,UNDEFINED,UNDEFINED
3,131373-73,UNDEFINED,UNDEFINED,UNDEFINED
3,131373-83,UNDEFINED,UNDEFINED,UNDEFINED
3,131373-93,UNDEFINED,UNDEFINED,UNDEFINED
3,131506-13,UNDEFINED,UNDEFINED,UNDEFINED
3,131506-23,PASS,UNDEFINED,PASS
3,131506-33,PASS,UNDEFINED,PASS
3,131537-12,UNDEFINED,UNDEFINED,UNDEFINED
3,131537-22,PASS,UNDEFINED,PASS
3,131537-32,PASS,UNDEFINED,PASS
3,131557-43,UNDEFINED,UNDEFINED,UNDEFINED
3,131557-53,PASS,UNDEFINED,PASS
3,131591-11,UNDEFINED,UNDEFINED,UNDEFINED
3,131591-21,UNDEFINED,UNDEFINED,UNDEFINED
3,131591-31,UNDEFINED,UNDEFINED,UNDEFINED
3,131591-41,UNDEFINED,UNDEFINED,UNDEFINED
3,131627-11,PASS,UNDEFINED,PASS
3,131627-21,UNDEFINED,UNDEFINED,UNDEFINED
3,131627-31,PASS,UNDEFINED,PASS
3,131721-13,PASS,UNDEFINED,PASS
3,131721-23,UNDEFINED,UNDEFINED,UNDEFINED
3,131721-33,PASS,UNDEFINED,PASS
3,131834-13,PASS,UNDEFINED,PASS
3,131834-23,UNDEFINED,UNDEFINED,UNDEFINED
3,131834-33,PASS,UNDEFINED,PASS
3,131935-13,PASS,UNDEFINED,PASS
3,131935-23,PASS,UNDEFINED,PASS
3,131935-33,UNDEFINED,UNDEFINED,UNDEFINED
3,131943-13,UNDEFINED,UNDEFINED,UNDEFINED
3,131943-23,PASS,UNDEFINED,PASS
3,131943-33,PASS,UNDEFINED,PASS
3,131970-13,UNDEFINED,UNDEFINED,UNDEFINED
3,131970-23,PASS,UNDEFINED,PASS
3,131970-33,PASS,UNDEFINED,PASS
3,132018-43,PASS,UNDEFINED,PASS
3,132032-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132032-23,PASS,UNDEFINED,PASS
3,132054-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132054-23,PASS,UNDEFINED,PASS
3,132054-33,PASS,UNDEFINED,PASS
3,132057-13,PASS,UNDEFINED,PASS
3,132057-23,UNDEFINED,UNDEFINED,UNDEFINED
3,132057-33,PASS,UNDEFINED,PASS
3,132080-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132096-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132096-23,UNDEFINED,UNDEFINED,UNDEFINED
3,132147-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132147-23,PASS,UNDEFINED,PASS
3,132147-33,PASS,UNDEFINED,PASS
3,132515-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132515-23,PASS,UNDEFINED,PASS
3,132515-33,PASS,UNDEFINED,PASS
3,132561-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132561-23,PASS,UNDEFINED,PASS
3,132561-33,PASS,UNDEFINED,PASS
3,132568-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132568-23,UNDEFINED,UNDEFINED,UNDEFINED
3,132568-33,UNDEFINED,UNDEFINED,UNDEFINED
3,132579-13,UNDEFINED,UNDEFINED,UNDEFINED
3,132579-23,UNDEFINED,UNDEFINED,UNDEFINED
3,132579-33,UNDEFINED,UNDEFINED,UNDEFINED
3,132579-43,UNDEFINED,UNDEFINED,UNDEFINED
3,132579-53,UNDEFINED,UNDEFINED,UNDEFINED
3,132579-63,UNDEFINED,UNDEFINED,UNDEFINED
3,132585-13,PASS,UNDEFINED,PASS
3,132585-23,UNDEFINED,UNDEFINED,UNDEFINED
3,132597-33,PASS,UNDEFINED,PASS
3,132597-43,UNDEFINED,UNDEFINED,UNDEFINED
3,132597-53,PASS,UNDEFINED,PASS
3,132607-11,UNDEFINED,UNDEFINED,UNDEFINED
3,132607-21,UNDEFINED,UNDEFINED,UNDEFINED
3,132607-31,UNDEFINED,UNDEFINED,UNDEFINED
3,132607-41,UNDEFINED,UNDEFINED,UNDEFINED
3,132649-33,UNDEFINED,UNDEFINED,UNDEFINED
3,132649-43,PASS,UNDEFINED,PASS
3,132649-53,UNDEFINED,UNDEFINED,UNDEFINED
3,132668-13,PASS,UNDEFINED,PASS
3,132668-23,PASS,UNDEFINED,PASS
3,132668-33,UNDEFINED,UNDEFINED,UNDEFINED
3,132693-33,UNDEFINED,UNDEFINED,UNDEFINED
3,132809-11,UNDEFINED,UNDEFINED,UNDEFINED
3,132809-21,UNDEFINED,UNDEFINED,UNDEFINED
3,133099-13,PASS,UNDEFINED,PASS
3,133099-23,UNDEFINED,UNDEFINED,UNDEFINED
3,133099-33,PASS,UNDEFINED,PASS
3,133146-12,UNDEFINED,UNDEFINED,UNDEFINED
3,133146-22,UNDEFINED,UNDEFINED,UNDEFINED
3,133146-32,UNDEFINED,UNDEFINED,UNDEFINED
3,133146-42,UNDEFINED,UNDEFINED,UNDEFINED
3,133146-52,UNDEFINED,UNDEFINED,UNDEFINED
3,133166-13,PASS,UNDEFINED,PASS
3,133166-23,PASS,UNDEFINED,PASS
3,133166-33,UNDEFINED,UNDEFINED,UNDEFINED
3,133213-13,UNDEFINED,UNDEFINED,UNDEFINED
